Foot,Take,TA
1,2,2.033447266
1,2,1.795410156
1,2,1.690673828
1,2,1.909179688
1,2,2.001953125
1,2,1.790771484
1,2,1.927001953
1,2,1.740722656
1,2,1.719482422
1,2,1.835205078
1,2,1.769042969
1,2,1.928466797
1,2,1.724365234
0,2,1.651123047
0,2,1.869384766
0,2,2.119384766
0,2,1.732177734
0,2,1.502441406
0,2,1.593261719
0,2,1.563720703
0,2,1.762451172
0,2,1.538330078
0,2,1.669921875
0,2,1.58984375
0,2,1.513427734
0,2,1.762207031
0,2,1.842285156
0,2,1.500244141
0,2,1.8828125
0,2,1.55859375
0,2,1.760742188
0,2,2.105957031
0,2,1.856933594
0,2,1.583984375
0,2,1.762207031
0,2,1.950195313
0,2,1.809326172
0,2,1.929443359
0,2,1.773193359
0,2,1.652832031
0,2,1.821533203
0,2,1.768066406
0,2,1.87890625
0,2,1.927246094
0,2,1.739501953
0,2,2.131835938
0,2,1.895751953
0,2,1.691162109
0,2,1.837158203
0,2,1.911132813
0,2,1.748291016
0,2,1.8671875
0,2,1.510498047
0,2,1.548339844
0,2,1.577392578
0,2,1.594238281
0,2,1.624755859
0,2,1.998046875
0,2,2.826660156
0,2,2.540283203
0,2,2.012939453
0,2,2.034667969
0,2,1.741943359
0,2,1.776367188
0,2,1.790771484
0,2,2.274169922
0,2,1.92578125
0,2,1.79296875
0,2,1.968261719
0,2,1.810791016
0,2,1.492431641
0,2,1.685546875
0,2,1.751220703
0,2,1.85546875
0,2,1.772949219
0,2,1.928710938
0,2,1.505615234
0,2,1.612060547
0,2,1.479248047
0,2,1.718505859
0,2,1.485107422
0,2,1.968505859
0,2,1.609375
0,2,1.671142578
0,2,1.772460938
0,2,1.6171875
0,2,1.686767578
0,2,1.716796875
0,2,2.056152344
0,2,1.836914063
0,2,1.675537109
0,2,1.538085938
0,2,1.678955078
0,2,1.689697266
0,2,1.683837891
0,2,1.790283203
1,3,1.490234375
1,3,1.366210938
1,3,1.35546875
1,3,1.484130859
1,3,1.529296875
1,3,1.395019531
1,3,1.457519531
1,3,1.385498047
1,3,1.436523438
1,3,1.308105469
1,3,1.338867188
1,3,1.495849609
1,3,1.554931641
1,3,1.581542969
1,3,1.368164063
1,3,1.461669922
1,3,1.551757813
1,3,1.388671875
1,3,1.439697266
1,3,1.474853516
1,3,1.302001953
1,3,1.429931641
1,3,1.547119141
1,3,1.359130859
1,3,1.627441406
1,3,1.652587891
