arrival_1,arrival_2,arrival_3,arrival_4,peak_1,peak_2,peak_3,peak_4,peak_mag1,peak_mag2,peak_mag3,peak_mag4,coord_x,coord_z
1521996,1521879,1521923,1521975,1522326,1522843,1522253,1522047,0.007189463,0.027537957,0.014900016,0.014127188,-403.6973725,-467.048996
1528653,1528558,1528552,1528616,1529056,1530736,1529013,1528764,0.003798699,0.008270867,0.021652613,0.005933902,254.9069745,-608.8015135
1535103,1534992,1534976,1535035,1535108,1535245,1535320,1535240,0.004809266,0.013803769,0.067781315,0.021237396,896.896881,-397.049469
1541803,1541506,1541423,1541565,1542130,1542322,1542226,1541893,0.00235222,0.004270309,0.065406456,0.015258483,1551.444275,-570.9057925
1548113,1548087,1547960,1548019,1548662,1548465,1548121,1548353,0.005530478,0.005612734,0.066180535,0.013692462,2233.565918,-417.804184
1554620,1554569,1554492,1554508,1554856,1554588,1554601,1554838,0.0027258,0.004306868,0.302626023,0.018363167,2694.039429,-843.367584
1561148,1560997,1560897,1560894,1561210,1561025,1560983,1561140,0.004476747,0.004991428,0.097574863,0.045255935,3157.401978,-1334.238465
1567657,1567548,1567487,1567420,1568077,1567645,1567757,1567730,0.003252874,0.004240627,0.057066756,0.030245932,3037.865723,-2033.727356
1574480,1574456,1574414,1574375,1575071,1574642,1574580,1574460,0.003371835,0.005148561,0.032909382,0.118125953,3131.349854,-2649.319092
1580978,1580922,1580895,1580888,1581228,1581050,1581134,1580956,0.004666263,0.003911721,0.013100482,0.058510382,2745.929322,-2535.157105
1587070,1587019,1587023,1587016,1587199,1587218,1587178,1587104,0.006162106,0.006390154,0.022200034,0.067830861,2015.689209,-2472.101319
1593784,1593720,1593728,1593723,1593921,1594168,1593985,1593962,0.004781,0.003473815,0.042645875,0.017529466,1463.80658,-2003.209839
1600068,1600021,1600031,1600025,1600488,1600213,1600427,1600287,0.008140341,0.007271642,0.028146601,0.013554444,745.271179,-1894.219605
1606674,1606557,1606583,1606591,1606867,1606582,1606907,1606786,0.00457382,0.005036509,0.021502203,0.009340892,165.465378,-1490.246521
1613147,1613091,1613138,1613113,1613427,1613465,1613275,1613434,0.012661913,0.01829495,0.016576024,0.007892735,-538.686081,-1407.82312
1619488,1619441,1619480,1619503,1619749,1619538,1619507,1619552,0.005348009,0.023412573,0.006046504,0.006031996,-1106.920044,-1016.771301
1625832,1625176,1625779,1625814,1625993,1625894,1626222,1626046,0.012672637,0.057230309,0.005962834,0.007849729,-1784.513306,-989.2088625
1632167,1631997,1632090,1632133,1633539,1633221,1632186,1632340,0.006203735,0.061018959,0.003874996,0.003113867,-2303.429444,-616.4911805
1638800,1638706,1638803,1638822,1639118,1639220,1639236,1638897,0.034840039,0.275079354,0.005996576,0.008064243,-2947.539917,-435.315643
1657683,1657611,1658006,1657916,1657987,1657677,1658043,1657918,0.008745753,0.116092684,0.002787087,0.00303335,-3268.430786,-146.5080715
1657823,1657790,1658006,1657916,1657987,1657853,1658043,1657918,0.008745753,0.09149287,0.002787087,0.00303335,-3263.65503,-161.8214265
1663938,1662773,1663918,1663956,1664084,1663992,1664189,1664097,0.021346326,0.123515942,0.008982594,0.007548407,-2647.959961,-345.660721
1670905,1670875,1670921,1670955,1671152,1671027,1671123,1671049,0.010247197,0.075484663,0.008701173,0.007041925,-2125.677368,-779.492279
1677309,1677202,1677232,1677287,1677458,1677503,1677376,1677527,0.012919265,0.030090917,0.014390382,0.007667957,-1431.671143,-876.0857545
1683646,1683623,1683644,1683670,1683857,1683849,1683873,1683808,0.011069303,0.014786154,0.015080161,0.013192221,-887.833984,-1295.903016
